Tamanho,Tempos
100,0.0156254768371582
100,0.0221390724182128
100,0.0151481628417968
100,0.0156385898590087
100,0.0161318778991699
100,0.0152399539947509
100,0.0154643058776855
100,0.0153255462646484
100,0.015601634979248
100,0.0155975818634033
500,0.0156686305999755
500,0.0225224494934082
500,0.0154376029968261
500,0.0157594680786132
500,0.0156817436218261
500,0.0156052112579345
500,0.0156311988830566
500,0.0156431198120117
500,0.0152466297149658
500,0.0156764984130859
1000,0.015544652938842773
1000,0.015694379806518555
1000,0.015626907348632812
1000,0.015621423721313477
1000,0.015648841857910156
1000,0.015315532684326172
1000,0.015971899032592773
1000,0.017742156982421875
1000,0.0159304141998291
1000,0.019109725952148438
